Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Agile method for product development based on C-K theory and feature-driven development,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,46,3,10.1007/s40430-024-04706-3,Giliarde Pacheco BarniCarlos Maurício SacchelliRégis Kovacs Scalice,2024,http://link.springer.com/article/10.1007/s40430-024-04706-3,Article
A framework for lean tool selection in the label printing industry for sustainable growth,International Journal of System Assurance Engineering and Management,,,,10.1007/s13198-024-02257-3,Rubina MittalHuda Shameem,2024,http://link.springer.com/article/10.1007/s13198-024-02257-3,Article
Integrated management of surface water and groundwater for climate change adaptation using hydrological modeling,"Environment, Development and Sustainability",,,,10.1007/s10668-024-04503-x,Chanchai PetpongpanChaiwat EkkawatpanitShabbir H. GheewalaSupattra VisessriPhayom SaraphiromDuangrudee KositgittiwongSo Kazama,2024,http://link.springer.com/article/10.1007/s10668-024-04503-x,Article
An iterative design procedure for the development of assistive devices based on a participatory approach,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,46,3,10.1007/s40430-024-04695-3,Alina de Souza Leão RodriguesLuciana Bolzan Agnelli MartinezZilda Castro Silveira,2024,http://link.springer.com/article/10.1007/s40430-024-04695-3,Article
Quality costs and Industry 4.0: inspection strategy modelling and reviewing,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-024-13184-9,Angélica Muffato ReisAlaíze Dall-OrsolettaEusébio NunesLino CostaSérgio Sousa,2024,http://link.springer.com/article/10.1007/s00170-024-13184-9,Article
Influences of Indian postal service quality factors on customer satisfaction amidst Covid-19 pandemic: an empirical study,International Journal of System Assurance Engineering and Management,,15,2,10.1007/s13198-023-01949-6,Sengazhani Murugesan VadivelKirubaharan Boobalan,2024,http://link.springer.com/article/10.1007/s13198-023-01949-6,Article
Selecting the Distribution System using AHP and Fuzzy AHP Methods,Mobile Networks and Applications,,29,1,10.1007/s11036-023-02290-9,Jania Astrid Saucedo-MartínezTomás Eloy Salais-FierroRoman Rodriguez-AguilarJose Antonio Marmolejo-Saucedo,2024,http://link.springer.com/article/10.1007/s11036-023-02290-9,Article
An adaptive and integrated reference model for supplier selection: application to product development and serialized component supply,Production Engineering,,18,1,10.1007/s11740-023-01221-7,Adauto Lucas da SilvaAntonio Carlos Pacagnella JuniorPaulo Sérgio de Arruda IgnácioAlessandro Lucas da Silva,2024,http://link.springer.com/article/10.1007/s11740-023-01221-7,Article
Numerical analysis of lossy nonuniform interconnect lines in modern integrated circuits by multistep θ-method and Runge-midpoint method,Journal of Computational Electronics,,23,1,10.1007/s10825-023-02109-6,K. Ait BelaidH. BelahrachA. GhammazH. Ayad,2024,http://link.springer.com/article/10.1007/s10825-023-02109-6,Article
A hybrid data-driven model for project portfolio selection problem based on sustainability and strategic dimensions: a case study of the telecommunication industry,Soft Computing,,28,3,10.1007/s00500-023-08445-w,AliAkbar ForouzeshNejad,2024,http://link.springer.com/article/10.1007/s00500-023-08445-w,Article
Development of a visual to audio and tactile substitution system for mobility and orientation of visually impaired people: a review,Multimedia Tools and Applications,,83,7,10.1007/s11042-023-16355-0,Komal Mahadeo MasalShripad BhatlawandeSachin Dattatraya Shingade,2024,http://link.springer.com/article/10.1007/s11042-023-16355-0,Article
A retrospective analysis of adverse events reported by Tunisian intensive care units’ professionals,BMC Health Services Research,,24,1,10.1186/s12913-024-10544-9,Mohamed Ayoub TliliWiem AouichaNikoloz GambashidzeAsma Ben CheikhJihene SahliMatthias WeiglAli MtiraouiSouad ChelbiHouyem Said LaatiriManel Mallouli,2024,http://link.springer.com/article/10.1186/s12913-024-10544-9,Article
A fuzzy decision support system for evaluating Lean-Green and company-specific production system,Environmental Science and Pollution Research,,31,4,10.1007/s11356-023-30667-6,Elmira AghaeiSoroush Avakh Darestani,2024,http://link.springer.com/article/10.1007/s11356-023-30667-6,Article
The application of multi-attribute decision making methods in integrated watershed management,Stochastic Environmental Research and Risk Assessment,,38,1,10.1007/s00477-023-02557-3,Rana Muhammad Adnan IkramSarita Gajbhiye MeshramMohd Abul HasanXinyi CaoEhsan AlvandiChandrashekhar MeshramSaiful Islam,2024,http://link.springer.com/article/10.1007/s00477-023-02557-3,Article
A novel robust probabilistic chance constrained programming and strategic analysis for Agri-food closed-loop supply chain under pandemic crisis,Soft Computing,,28,2,10.1007/s00500-023-09156-y,Misagh RahbariAlireza Arshadi KhamsehMohammad Mohammadi,2024,http://link.springer.com/article/10.1007/s00500-023-09156-y,Article
An evolutionary game-based simulation study of a multi-agent governance system for smart senior care services in China,BMC Geriatrics,,23,1,10.1186/s12877-023-04521-w,Qiannan ShiShumian YangNa WangShu-e ZhangYanping WangBing WuXinyuan LuYining SheZhihao YueLei GaoZhong Zhang,2023,http://link.springer.com/article/10.1186/s12877-023-04521-w,Article
An integrated decision support model for effective institutional coordination framework in planning for public transportation,Soft Computing,,,,10.1007/s00500-023-09425-w,Mouhamed Bayane BouraimaJanet OyaroErtugrul AyyildizMelike ErdoganNdiema Kevin Maraka,2023,http://link.springer.com/article/10.1007/s00500-023-09425-w,Article
Design of Coal Conveying Belt Correction Device Based on FTA-QFD-TRIZ,Journal of Failure Analysis and Prevention,,23,6,10.1007/s11668-023-01789-3,Xiufen ZhangZhanchao Wei,2023,http://link.springer.com/article/10.1007/s11668-023-01789-3,Article
A design testbed for eco-friendly corrugated setter tray packaging,Journal of Mechanical Science and Technology,,37,12,10.1007/s12206-023-2409-y,Junhyuk OhWoojin ChoiHaeseong Jee,2023,http://link.springer.com/article/10.1007/s12206-023-2409-y,Article
Development of an operational procedure based on issues management methodologies in the FRACAS process,Life Cycle Reliability and Safety Engineering,,12,4,10.1007/s41872-023-00234-6,Behrang Sakhaei,2023,http://link.springer.com/article/10.1007/s41872-023-00234-6,Article
Sustainable supplier selection model with a trade-off between supplier development and supplier switching,Annals of Operations Research,,331,1,10.1007/s10479-022-04812-2,AditiDevika KannanJyoti Dhingra DarbariP. C. Jha,2023,http://link.springer.com/article/10.1007/s10479-022-04812-2,Article
A data-driven analysis of renewable energy management: a case study of wind energy technology,Cluster Computing,,26,6,10.1007/s10586-023-03966-3,Fatma AltuntasMehmet Sahin Gok,2023,http://link.springer.com/article/10.1007/s10586-023-03966-3,Article
Decision modeling of the challenges to human–robot collaboration in industrial environment: a real world example of an emerging economy,Flexible Services and Manufacturing Journal,,35,4,10.1007/s10696-022-09474-7,Koppiahraj KaruppiahBathrinath SankaranarayananSyed Mithun AliR. K. A. Bhalaji,2023,http://link.springer.com/article/10.1007/s10696-022-09474-7,Article
A collective efficacy-based approach for bi-objective sustainable project portfolio selection using interdependency network model between projects,"Environment, Development and Sustainability",,25,12,10.1007/s10668-022-02638-3,Mohadeseh EbnerasoulSeyed Farid GhannadpourAbdolrahman Haeri,2023,http://link.springer.com/article/10.1007/s10668-022-02638-3,Article
ICCP: A heuristic process planning method for personalized product configuration design,Applied Intelligence,,53,24,10.1007/s10489-023-05186-z,Kerui HuLemiao QiuShuyou ZhangZili WangNaiyu Fang,2023,http://link.springer.com/article/10.1007/s10489-023-05186-z,Article
A review on TOPSIS method and its extensions for different applications with recent development,Soft Computing,,27,23,10.1007/s00500-023-09011-0,Vinay PandeyKomalHasan Dincer,2023,http://link.springer.com/article/10.1007/s00500-023-09011-0,Article
Supply Chain Resilience: A Common Weights Efficiency Analysis with Non-discretionary and Non-controllable Inputs,Global Journal of Flexible Systems Management,,24,1,10.1007/s40171-024-00380-5,Reza Kiani MaviNeda Kiani MaviSeyed Ashkan Hosseini ShekarabiMatthew Pepper’sSean Arisian,2023,http://link.springer.com/article/10.1007/s40171-024-00380-5,Article
A copula-based exponential probabilistic model for factor-dependence social sustainability assessment,"Environment, Development and Sustainability",,,,10.1007/s10668-023-04173-1,Faramarz KhosraviGokhan Izbirak,2023,http://link.springer.com/article/10.1007/s10668-023-04173-1,Article
Fine-Kinney method based on fuzzy logic for natural gas pipeline project risk assessment,Soft Computing,,27,22,10.1007/s00500-023-09108-6,Burak EfeÖmer Faruk Efe,2023,http://link.springer.com/article/10.1007/s00500-023-09108-6,Article
Evaluation of the Special Warehouse Handling Equipment (Turret Trucks) Using Integrated FUCOM and WASPAS Techniques Based on Intuitionistic Fuzzy Dombi Aggregation Operators,Arabian Journal for Science and Engineering,,48,11,10.1007/s13369-023-07615-0,Sarfaraz Hashemkhani ZolfaniÖmer Faruk GörçünHande Küçükönder,2023,http://link.springer.com/article/10.1007/s13369-023-07615-0,Article
A systematic review of modeling approaches in green supply chain optimization,Environmental Science and Pollution Research,,30,53,10.1007/s11356-023-30396-w,Md Doulotuzzaman XamesJannatul ShefaFahima Akter AzrinAbu Saleh Md. Nakib UddinUmme HabibaWashima Zaman,2023,http://link.springer.com/article/10.1007/s11356-023-30396-w,Article
Holistic Life-cycle Cost-benefit Analysis of Green Buildings: A China Case Study,KSCE Journal of Civil Engineering,,27,11,10.1007/s12205-023-0431-3,Xiaojuan LiMingchao LinWanjun XieChi Yung JimJiyu LaiLiping Cheng,2023,http://link.springer.com/article/10.1007/s12205-023-0431-3,Article
A partial-consensus and unequal-authority fuzzy collaborative intelligence approach for assessing robotic applications amid the COVID-19 pandemic,Soft Computing,,27,22,10.1007/s00500-023-09136-2,Tin-Chih Toly ChenHsin-Chieh Wu,2023,http://link.springer.com/article/10.1007/s00500-023-09136-2,Article
Improved risk assessment model based on rough integrated clouds and ELECTRE-II method: an application to intelligent manufacturing process,Granular Computing,,8,6,10.1007/s41066-023-00385-y,Musavarah SarwarWajeeha GulzarSamia Ashraf,2023,http://link.springer.com/article/10.1007/s41066-023-00385-y,Article
Linguistic VIKOR method for project evaluation of ambient intelligence product,Journal of Ambient Intelligence and Humanized Computing,,14,11,10.1007/s12652-018-0889-x,Chen-Tung ChenSue-Fen HuangWei-Zhan Hung,2023,http://link.springer.com/article/10.1007/s12652-018-0889-x,Article
Designing a dairy supply chain network considering sustainability and resilience: a multistage decision-making framework,Clean Technologies and Environmental Policy,,25,9,10.1007/s10098-023-02538-8,Farnaz Zarei-KordshouliMohammad Mahdi PaydarSina Nayeri,2023,http://link.springer.com/article/10.1007/s10098-023-02538-8,Article
A sustainable supplier selection method using integrated Fuzzy DEMATEL–ANP–DEA approach (case study: Petroleum Industry),"Environment, Development and Sustainability",,25,11,10.1007/s10668-022-02590-2,Seyed Amir NasriBehdad EhsaniSeyed Javad HosseininezhadNasser Safaie,2023,http://link.springer.com/article/10.1007/s10668-022-02590-2,Article
Dual interval rough integrated cloud COPRAS method: a novel hybrid assessment model for remanufacturing system selection,Soft Computing,,,,10.1007/s00500-023-09327-x,Musavarah SarwarGhous AliSundas ShahzadiLiming Xiao,2023,http://link.springer.com/article/10.1007/s00500-023-09327-x,Article
A proposal for the selection of green building standards through the analytical hierarchy process (AHP): a roadmap for green hotels in Turkey,Quality & Quantity,,,,10.1007/s11135-023-01756-y,Fatma Kürüm VarolgüneşSadık VarolgüneşMaría de la Cruz del Río-RamaAmador Durán-Sánchez,2023,http://link.springer.com/article/10.1007/s11135-023-01756-y,Article
Mining novel genomic regions and candidate genes of heading and flowering dates in bread wheat by SNP- and haplotype-based GWAS,Molecular Breeding,,43,10,10.1007/s11032-023-01422-z,Pengfang QiaoXuan LiDezheng LiuShan LuLei ZhiAiman RysbekovaLiang ChenYin-gang Hu,2023,http://link.springer.com/article/10.1007/s11032-023-01422-z,Article
Multi-criteria decision support system for bridge construction system selection utilizing value engineering and TOPSIS,Innovative Infrastructure Solutions,,8,11,10.1007/s41062-023-01267-7,Alaa ElMarkabyAbdelmonem SanadAhmed ElyamanyEbtisam Yehia,2023,http://link.springer.com/article/10.1007/s41062-023-01267-7,Article
A Markovian-based fuzzy decision-making approach for the customer-based sustainable-resilient supplier selection problem,Soft Computing,,27,20,10.1007/s00500-023-08380-w,Mahdieh TavakoliAmirreza TajallyMohssen Ghanavati-NejadFariborz Jolai,2023,http://link.springer.com/article/10.1007/s00500-023-08380-w,Article
The antagonism and cohesion of the upstream supply chain under information asymmetry,Annals of Operations Research,,329,01-feb,10.1007/s10479-020-03881-5,Aijun LiuSenhao LuoJian MouHongwei Qiu,2023,http://link.springer.com/article/10.1007/s10479-020-03881-5,Article
Assessing of causes of accidents based on a novel integrated interval-valued Fermatean fuzzy methodology: towards a sustainable construction site,Neural Computing and Applications,,35,29,10.1007/s00521-023-08948-5,Mouhamed Bayane BouraimaAbibata GoreErtugrul AyyildizSelin YalcinIbrahim BadiClement Kiprotich KiptumYanjun Qiu,2023,http://link.springer.com/article/10.1007/s00521-023-08948-5,Article
Intelligent back analysis using clonal selection algorithm in calculating equivalent top loading curve using O-cell test data,Journal of Central South University,,30,10,10.1007/s11771-023-5450-1,Qian Fang 房倩Jun Wang 王军Gan Wang 王赶Qian-qian Li 李倩倩Wei-bin Ma 马伟斌,2023,http://link.springer.com/article/10.1007/s11771-023-5450-1,Article
Picture fuzzy Additive Ratio Assessment Method (ARAS) and VIseKriterijumska Optimizacija I Kompromisno Resenje (VIKOR) method for multi-attribute decision problem and their application,Complex & Intelligent Systems,,9,5,10.1007/s40747-023-01007-5,Jianping FanDongshuai HanMeiqin Wu,2023,http://link.springer.com/article/10.1007/s40747-023-01007-5,Article
Implementing bargaining game-based fuzzy cognitive map and mixed-motive games for group decisions in the healthcare supplier selection,Artificial Intelligence Review,,56,10,10.1007/s10462-023-10432-4,Mohsen Abbaspour OnariMustafa Jahangoshai Rezaee,2023,http://link.springer.com/article/10.1007/s10462-023-10432-4,Article
A supply risk perspective integrated sustainable supplier selection model in the intuitionistic fuzzy environment,Soft Computing,,27,20,10.1007/s00500-023-08336-0,Chong WuHaohui ZouDavid Barnes,2023,http://link.springer.com/article/10.1007/s00500-023-08336-0,Article
A comparative study of the selection of cutting fluids used in machining processes by multi criteria decision making (MCDM) methods,Sādhanā,,48,4,10.1007/s12046-023-02265-2,Batuhan Özakin,2023,http://link.springer.com/article/10.1007/s12046-023-02265-2,Article
