Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Enhancing efficiency in PCB assembly for the leading global electronics manufacturing services firm: a TRIZ and Ant Colony Optimization approach,The International Journal of Advanced Manufacturing Technology,,133,11-dic,10.1007/s00170-024-14025-5,Chia-Nan WangNhat-Luong NhieuTien-Anh Pham Viet,2024,http://link.springer.com/article/10.1007/s00170-024-14025-5,Article
An empirical investigation into UK university–industry collaboration: the development of an impact framework,The Journal of Technology Transfer,,49,4,10.1007/s10961-023-10043-9,David BamfordIain ReidPaul ForresterBenjamin DeheJim BamfordMarina Papalexi,2024,http://link.springer.com/article/10.1007/s10961-023-10043-9,Article
A risk assessment model with dependent failure modes for the manufacturing and design processes of medical equipment,International Journal on Interactive Design and Manufacturing (IJIDeM),,18,6,10.1007/s12008-024-01919-7,Huai-Wei LoMuhammet GulMelih YucesanChing-Fang Liaw,2024,http://link.springer.com/article/10.1007/s12008-024-01919-7,Article
Measuring museum sustainability in China: a DSR model-driven approach to empower sustainable development goals (SDGs),Humanities and Social Sciences Communications,,11,1,10.1057/s41599-024-03437-z,Siyi WangLiying YuYuan Rong,2024,http://link.springer.com/article/10.1057/s41599-024-03437-z,Article
Risk evaluation in failure mode and effect analysis: AHP-VIKOR method with picture fuzzy rough number,Granular Computing,,9,3,10.1007/s41066-024-00491-5,Mavera NawazArooj AdeelMuhammad Akram,2024,http://link.springer.com/article/10.1007/s41066-024-00491-5,Article
A hybrid approach for risk-informed decision-making in supply chain projects,Annals of Operations Research,,,,10.1007/s10479-024-06169-0,Xu ZhangSijun BaiAbroon QaziMark Goh,2024,http://link.springer.com/article/10.1007/s10479-024-06169-0,Article
Multi objective optimization and evaluation approach of prefabricated component combination solutions using NSGA-II and simulated annealing optimized projection pursuit method,Scientific Reports,,14,1,10.1038/s41598-024-65319-3,Qun WangXizhen XuXiaoxin DingTiebing ChenRonghui DengJinglei LiJiawei Jiang,2024,http://link.springer.com/article/10.1038/s41598-024-65319-3,Article
Construction and application of product optimisation design model driven by user requirements,Scientific Reports,,14,1,10.1038/s41598-024-67406-x,Zhigang HuDongyi JiaXianling QiaoNan Zhang,2024,http://link.springer.com/article/10.1038/s41598-024-67406-x,Article
"Unveiling the cultural significance and development of “wajik”, a traditional Javanese food",Journal of Ethnic Foods,,11,1,10.1186/s42779-024-00237-3,Ata Aditya WardanaR. Haryo Bimo Setiarto,2024,http://link.springer.com/article/10.1186/s42779-024-00237-3,Article
Enabling reliable usability assessment and comparative analysis of medical software: a comprehensive framework for multimodal biomedical imaging platforms,Health and Technology,,14,4,10.1007/s12553-024-00859-2,Elena DenisovaEleonora TiribilliAlessio LuschiPiergiorgio FranciaLeonardo ManettiLeonardo BocchiErnesto Iadanza,2024,http://link.springer.com/article/10.1007/s12553-024-00859-2,Article
Extended ExpTODIM technique based on GRA for capability evaluation of real estate general contractors with hesitant triangular fuzzy information,Soft Computing,,28,13 - 14,10.1007/s00500-024-09646-7,Xiaobo LiaoHua Lei,2024,http://link.springer.com/article/10.1007/s00500-024-09646-7,Article
Correction to: Concept Design Evaluation of Sustainable Product–Service Systems: A QFD–TOPSIS Integrated Framework with Basic Uncertain Linguistic Information,Group Decision and Negotiation,,33,3,10.1007/s10726-024-09884-y,Qiang YangZhen-Song ChenJiang-Hong ZhuLuis MartínezWitold PedryczMirosław J. Skibniewski,2024,http://link.springer.com/article/10.1007/s10726-024-09884-y,Article
Concept Design Evaluation of Sustainable Product–Service Systems: A QFD–TOPSIS Integrated Framework with Basic Uncertain Linguistic Information,Group Decision and Negotiation,,33,3,10.1007/s10726-023-09870-w,Qiang YangZhen-Song ChenJiang-Hong ZhuLuis MartínezWitold PedryczMirosław J. Skibniewski,2024,http://link.springer.com/article/10.1007/s10726-023-09870-w,Article
Flexibility in Enhancing Supply Chain Resilience: Developing a Resilience Capability Portfolio in the Event of Severe Disruption,Global Journal of Flexible Systems Management,,25,2,10.1007/s40171-024-00391-2,Md Maruf Hossan ChowdhuryPriyabrata ChowdhuryMohammed QuaddusKazi Waziur RahmanSakib Shahriar,2024,http://link.springer.com/article/10.1007/s40171-024-00391-2,Article
Quality Function Deployment-Oriented Strategic Outlook to Sustainable Energy Policies Based on Quintuple Innovation Helix,Journal of the Knowledge Economy,,15,2,10.1007/s13132-023-01394-7,Elias CarayannisPantelis KostisHasan DinçerSerhat Yüksel,2024,http://link.springer.com/article/10.1007/s13132-023-01394-7,Article
"Formulating a design model for product platform architecture adopting integrated design approach considering variety, cost, and accessibility criteria",Production Engineering,,18,03-abr,10.1007/s11740-023-01224-4,Masoud MeratiMahdi KarbasianAbbas Toloie AshlaghiHassan Hale,2024,http://link.springer.com/article/10.1007/s11740-023-01224-4,Article
Spatial Variations in Element Concentrations in Saudi Arabian Red Sea Mangrove and Seagrass Ecosystems: A Comparative Analysis for Bioindicator Selection,Earth Systems and Environment,,8,2,10.1007/s41748-024-00390-4,Chunzhi CaiAndrea AntonCarlos M. DuarteSusana Agusti,2024,http://link.springer.com/article/10.1007/s41748-024-00390-4,Article
Measuring power consumption efficiency of an electromechanical system within a long-term period by fuzzy DEA and TOPSIS for sustainability,Soft Computing,,28,11-dic,10.1007/s00500-023-09581-z,Yu-Jie Wang,2024,http://link.springer.com/article/10.1007/s00500-023-09581-z,Article
Recent development and applications of neutrosophic fuzzy optimization approach,International Journal of System Assurance Engineering and Management,,15,6,10.1007/s13198-023-02243-1,Debasmita SarkarPankaj Kumar Srivastava,2024,http://link.springer.com/article/10.1007/s13198-023-02243-1,Article
Selection of optimal strategy for managing decentralized solar PV systems considering uncertain weather conditions,Scientific Reports,,14,1,10.1038/s41598-024-62891-6,Assia ChadlyHamed Yahya AldayyaniMohammad M. HamashaSa’ed AmerMaher MaaloufAhmad Mayyas,2024,http://link.springer.com/article/10.1038/s41598-024-62891-6,Article
Prioritizing Barriers to Resilience in Blood Supply Chains: An Integrated Multi-Criteria Decision-Making Approach,Operations Research Forum,,5,2,10.1007/s43069-024-00321-z,Ali SibeveiPardis Roozkhosh,2024,http://link.springer.com/article/10.1007/s43069-024-00321-z,Article
